2026-03-14 16:04:46 | INFO     | tts_engine.py:26 | TTS 출력: 무슨 말씀인지 잘 이해하지 못했어요.
2026-03-14 16:04:46 | INFO     | main.py:71 | 명령 처리 완료. 다시 호출어 대기 모드로 돌아갑니다.
2026-03-14 16:04:47 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:05:05 | INFO     | wake_word.py:53 | 호출어 감지됨!
2026-03-14 16:05:05 | INFO     | tts_engine.py:26 | TTS 출력: 네, 말씀하세요.
2026-03-14 16:05:05 | INFO     | vad_recorder.py:25 | 발화 대기 및 녹음 시작...
2026-03-14 16:05:08 | INFO     | vad_recorder.py:46 | 묵음 감지됨. 녹음 종료.
2026-03-14 16:05:08 | INFO     | vad_recorder.py:66 | 임시 오디오 저장 완료: temp_command.wav
2026-03-14 16:05:08 | INFO     | stt_engine.py:24 | 음성 인식 분석 시작: temp_command.wav
2026-03-14 16:05:08 | INFO     | stt_engine.py:29 | STT 인식 결과: 유튜브 켜줘
2026-03-14 16:05:08 | INFO     | intent_analyzer.py:80 | 의도 추론 결과: '유튜브 켜줘' -> youtube_play (Score: 0.92)
2026-03-14 16:05:08 | INFO     | action_dispatcher.py:28 | 액션 매핑 성공 및 실행: execute_youtube_search
2026-03-14 16:05:08 | INFO     | app_controller.py:19 | 유튜브 브라우저 실행
2026-03-14 16:05:13 | INFO     | tts_engine.py:26 | TTS 출력: 명령을 수행했습니다.
2026-03-14 16:05:14 | INFO     | main.py:71 | 명령 처리 완료. 다시 호출어 대기 모드로 돌아갑니다.
2026-03-14 16:05:15 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:06:46 | INFO     | wake_word.py:53 | 호출어 감지됨!
2026-03-14 16:06:46 | INFO     | tts_engine.py:26 | TTS 출력: 네, 말씀하세요.
2026-03-14 16:06:46 | INFO     | vad_recorder.py:25 | 발화 대기 및 녹음 시작...
2026-03-14 16:06:51 | INFO     | vad_recorder.py:46 | 묵음 감지됨. 녹음 종료.
2026-03-14 16:06:51 | INFO     | vad_recorder.py:66 | 임시 오디오 저장 완료: temp_command.wav
2026-03-14 16:06:51 | INFO     | stt_engine.py:24 | 음성 인식 분석 시작: temp_command.wav
2026-03-14 16:06:52 | INFO     | stt_engine.py:29 | STT 인식 결과: 브라우저에서 모두 수락 눌러줘
2026-03-14 16:06:52 | INFO     | intent_analyzer.py:80 | 의도 추론 결과: '브라우저에서 모두 수락 눌러줘' -> youtube_play (Score: 0.40)
2026-03-14 16:06:52 | WARNING  | intent_analyzer.py:90 | 유효 임계치(0.8) 도달 실패. 일치하는 명령어를 찾지 못했습니다.
2026-03-14 16:06:52 | INFO     | tts_engine.py:26 | TTS 출력: 무슨 말씀인지 잘 이해하지 못했어요.
2026-03-14 16:06:52 | INFO     | main.py:71 | 명령 처리 완료. 다시 호출어 대기 모드로 돌아갑니다.
2026-03-14 16:06:53 | INFO     | wake_word.py:45 | 호출어('독종') 대기 중...
2026-03-14 16:11:54 | INFO     | wake_word.py:53 | 호출어 감지됨!
